epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,9.0973,1.38230562210083,0.31777092814445496,0.1516,0.2494,1.0234,0.2657,0.3258,0.4786
1,5.4604,1.3221527338027954,0.3970181345939636,0.2431,0.28,0.928,0.2851,0.3675,0.5537
2,5.2763,1.2632701396942139,0.43475398421287537,0.3314,0.2585,1.0726,0.2971,0.3445,0.5498
3,5.0804,1.2228878736495972,0.4486505389213562,0.4163,0.3018,1.09,0.3136,0.3853,0.6227
4,5.2408,1.186362385749817,0.46280860900878906,0.504,0.3031,1.0394,0.3234,0.4122,0.5662
5,5.3025,1.1471573114395142,0.48154813051223755,0.5926,0.3081,1.0629,0.3223,0.4087,0.5707
6,5.068,1.1156798601150513,0.48932498693466187,0.6775,0.3047,1.0643,0.3334,0.4002,0.6102
7,5.1544,1.0882865190505981,0.49739187955856323,0.7638,0.3175,1.02,0.3412,0.4281,0.6174
8,4.9731,1.0677928924560547,0.5022253394126892,0.8469,0.3398,1.0742,0.3575,0.4457,0.6592
9,5.251,1.0382211208343506,0.5112195014953613,0.9347,0.312,1.1097,0.3278,0.4058,0.6023
10,5.1698,1.0200097560882568,0.5099593997001648,1.0211,0.3265,1.0251,0.3492,0.4265,0.6288
11,5.107,1.003595232963562,0.5181546807289124,1.1065,0.3138,1.0125,0.3381,0.4182,0.6504
12,4.9645,0.9800403714179993,0.528270959854126,1.1896,0.3133,0.9045,0.3467,0.4297,0.6504
13,5.2775,0.9663938283920288,0.5256628394126892,1.2778,0.3243,0.9484,0.361,0.4163,0.6628
14,5.2765,0.9457578063011169,0.5343859195709229,1.366,0.3432,1.0315,0.3794,0.4556,0.655
15,5.1489,0.9322866797447205,0.5406150221824646,1.4521,0.3483,1.136,0.3785,0.441,0.6303
16,5.2348,0.9112529158592224,0.5467608571052551,1.5397,0.3285,1.0177,0.3625,0.4403,0.6473
17,5.1,0.9047644138336182,0.5462972521781921,1.6251,0.3464,1.0599,0.3896,0.4458,0.6157
18,5.3954,0.881140947341919,0.5569889545440674,1.7152,0.3388,1.0254,0.3744,0.4156,0.6289
19,5.1662,0.8687151074409485,0.5664252638816833,1.8015,0.3559,0.9875,0.3877,0.4496,0.5976
20,5.2431,0.8617678880691528,0.56565260887146,1.8891,0.365,1.0388,0.4038,0.4471,0.6373
21,5.2319,0.8501274585723877,0.5711494088172913,1.9766,0.376,1.0117,0.4414,0.4545,0.6595
22,5.1625,0.8386251926422119,0.5816722512245178,2.063,0.3801,1.0398,0.4187,0.453,0.6734
23,5.0706,0.8296272158622742,0.5866103172302246,2.1477,0.3787,1.0767,0.4323,0.4462,0.671
24,5.1993,0.8196976184844971,0.5933957695960999,2.2347,0.3764,1.0036,0.3939,0.4507,0.6271
25,5.0859,0.8052727580070496,0.5994298458099365,2.3197,0.3915,1.0602,0.4162,0.4648,0.6845
26,5.0293,0.8017218708992004,0.6023066639900208,2.4041,0.4256,1.1458,0.4388,0.4723,0.6972
27,4.9069,0.7876031994819641,0.6098933219909668,2.4863,0.4102,1.1216,0.4239,0.475,0.6765
28,5.1039,0.7859039306640625,0.612118661403656,2.5714,0.4236,0.988,0.4381,0.4753,0.7004
29,5.0823,0.7661057114601135,0.6209653615951538,2.6565,0.3889,0.906,0.4149,0.4532,0.7281
30,5.1907,0.7677963376045227,0.6219235062599182,2.7432,0.4328,1.0973,0.4491,0.4907,0.6848
31,5.2866,0.7554245591163635,0.6258820295333862,2.8316,0.3997,1.0613,0.4133,0.4535,0.6418
32,5.0322,0.7545865774154663,0.6251188516616821,2.9157,0.4316,1.0537,0.4501,0.4868,0.6941
33,5.1789,0.7503900527954102,0.6289799809455872,3.0024,0.4127,0.9973,0.4344,0.4591,0.7088
34,5.1635,0.7250435948371887,0.6406868100166321,3.0887,0.4373,0.8522,0.4472,0.4875,0.7168
35,4.9657,0.7335659861564636,0.6411955952644348,3.1719,0.4485,1.0453,0.4596,0.4922,0.7284
36,5.0652,0.7221335172653198,0.6413929462432861,3.2566,0.3902,0.9844,0.399,0.4495,0.6381
37,5.1983,0.7136058211326599,0.6472107172012329,3.3435,0.4123,0.9123,0.425,0.4684,0.6806
38,5.1612,0.7134066820144653,0.6475839614868164,3.43,0.4195,0.9994,0.4452,0.4598,0.7027
39,5.3368,0.7050551176071167,0.6526765823364258,3.5194,0.4574,1.0186,0.4778,0.4897,0.7624
40,4.9382,0.7058941125869751,0.6518064141273499,3.6021,0.456,1.0629,0.4694,0.4886,0.732
41,5.2873,0.6977705359458923,0.6543004512786865,3.6905,0.4544,0.9726,0.479,0.5059,0.6881
42,5.0,0.6875885128974915,0.6614638566970825,3.7745,0.4364,0.9061,0.4422,0.4829,0.7412
43,5.1588,0.6804990768432617,0.6633040904998779,3.8608,0.4401,1.089,0.4713,0.4749,0.688
44,5.0276,0.6830187439918518,0.6595357060432434,3.9449,0.4441,1.045,0.472,0.4827,0.7192
45,5.0093,0.6694783568382263,0.6668299436569214,4.0287,0.4347,0.9432,0.4652,0.4822,0.7331
46,5.2287,0.6710896492004395,0.6662284135818481,4.1162,0.4374,1.0323,0.4447,0.4689,0.6747
47,5.0951,0.6628963351249695,0.6703224778175354,4.2014,0.4017,0.9808,0.4141,0.4366,0.6911
48,5.1208,0.6581501960754395,0.6725003123283386,4.287,0.4458,0.9724,0.4502,0.4919,0.7227
49,5.1488,0.6651487350463867,0.671584963798523,4.373,0.4328,1.069,0.4445,0.4837,0.6838
50,5.1939,0.6473550796508789,0.679399847984314,4.46,0.4728,1.1539,0.4892,0.5012,0.7305
51,5.2083,0.6515408158302307,0.6754150986671448,4.547,0.4525,1.0702,0.4599,0.4842,0.7077
52,5.0638,0.6408905982971191,0.6774407625198364,4.6317,0.4691,1.1331,0.4766,0.5156,0.6539
53,5.1694,0.6383980512619019,0.6821434497833252,4.7184,0.4843,1.0415,0.4864,0.522,0.7564
54,4.9751,0.6365146040916443,0.6835747361183167,4.8017,0.4607,1.0104,0.4677,0.4947,0.7461
55,5.1344,0.6394184231758118,0.6806052327156067,4.8876,0.4505,1.1253,0.4638,0.4639,0.723
56,5.1622,0.6388777494430542,0.6814610958099365,4.9739,0.4364,1.0046,0.4503,0.4595,0.713
57,5.1273,0.6350364089012146,0.6826974153518677,5.0596,0.4807,0.9228,0.483,0.5268,0.7232
58,5.258,0.6241276860237122,0.6857572793960571,5.1476,0.4554,0.9562,0.4656,0.4811,0.7304
