epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,6.1714,1.2621424198150635,0.4123390018939972,0.1029,0.2942,1.0745,0.3003,0.3089,0.566
1,4.2754,1.1448134183883667,0.483679860830307,0.1747,0.3313,0.8848,0.3448,0.3416,0.62
2,4.0295,1.0878201723098755,0.5091179609298706,0.2419,0.3436,1.0108,0.3509,0.3589,0.6314
3,3.986,1.0580941438674927,0.5186730623245239,0.3085,0.3192,0.9702,0.3335,0.3419,0.6133
4,3.8715,1.0231399536132812,0.5310039520263672,0.3733,0.3368,1.05,0.3449,0.3434,0.6605
5,3.9059,1.0008115768432617,0.5389155745506287,0.4385,0.3502,1.0858,0.3652,0.3658,0.6315
6,3.9593,0.9802682995796204,0.5465668439865112,0.5047,0.3515,1.0555,0.3686,0.3669,0.6502
7,3.7782,0.9544121026992798,0.5542634725570679,0.5678,0.3609,1.0127,0.3766,0.3849,0.6263
8,4.0121,0.9445681571960449,0.5593706965446472,0.6348,0.3756,1.1553,0.3914,0.3813,0.663
9,3.9027,0.9209858179092407,0.566673219203949,0.7,0.3505,0.8757,0.367,0.3735,0.6716
10,3.9159,0.9176533818244934,0.5677433609962463,0.7654,0.3606,0.9235,0.3845,0.3707,0.6573
11,3.9303,0.8889591693878174,0.5785071849822998,0.8312,0.3619,1.0527,0.3718,0.3778,0.6879
12,3.9185,0.8745870590209961,0.5822910070419312,0.8966,0.3935,0.9381,0.4034,0.4162,0.646
13,3.8877,0.8570932745933533,0.5913444757461548,0.9618,0.405,0.9625,0.4137,0.4306,0.7142
14,3.9436,0.8442406058311462,0.5987951159477234,1.0277,0.3812,0.972,0.3807,0.3961,0.6886
15,3.9726,0.8357450366020203,0.5996049046516418,1.0941,0.3991,1.0455,0.4182,0.432,0.6945
16,3.8845,0.8268741369247437,0.6032668948173523,1.1589,0.4221,0.9001,0.4196,0.4543,0.6989
17,3.9506,0.8148005604743958,0.6061167120933533,1.2249,0.3802,0.9769,0.3911,0.3896,0.6246
18,3.976,0.7992870211601257,0.6145275831222534,1.2914,0.4168,1.0618,0.4188,0.4377,0.684
19,3.8339,0.805827796459198,0.6121770143508911,1.3554,0.4224,1.0035,0.4237,0.4404,0.6971
20,3.9881,0.7833136320114136,0.6200337409973145,1.422,0.3878,0.9725,0.3938,0.4157,0.6588
21,4.0025,0.7788203358650208,0.6205950975418091,1.4888,0.4341,1.0582,0.4342,0.4611,0.6762
22,3.8757,0.7662233710289001,0.6269540190696716,1.5535,0.4157,1.0119,0.4237,0.4203,0.6401
23,3.7797,0.7492572665214539,0.6346793174743652,1.6166,0.4341,1.0013,0.4437,0.478,0.7034
24,3.8822,0.7595768570899963,0.6301907896995544,1.6815,0.4491,0.9342,0.4471,0.4941,0.7145
