epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,3.644,1.3334176540374756,0.32536596059799194,0.0607,0.2436,1.0598,0.2709,0.3371,0.3588
1,2.1689,1.2416807413101196,0.43019750714302063,0.097,0.3404,1.0726,0.3258,0.4242,0.5785
2,2.0004,1.1896690130233765,0.4550885856151581,0.1305,0.3361,1.1311,0.3211,0.4467,0.5986
3,1.9779,1.152099609375,0.4721611738204956,0.1635,0.3395,1.1765,0.336,0.4394,0.6145
4,1.9738,1.1197680234909058,0.48883485794067383,0.1965,0.3561,0.9641,0.3477,0.4802,0.5983
5,1.9781,1.0968621969223022,0.4982060194015503,0.2295,0.3635,1.0478,0.357,0.4771,0.6773
6,1.9813,1.064292073249817,0.5102216005325317,0.2626,0.3376,0.8719,0.332,0.4624,0.6353
7,1.9709,1.035812497138977,0.5193777680397034,0.2955,0.3507,0.9278,0.3644,0.4427,0.6801
8,1.9568,1.0256550312042236,0.5169364213943481,0.3282,0.3653,1.0801,0.3857,0.4921,0.6272
9,1.9728,1.0041043758392334,0.5277695655822754,0.3612,0.3884,1.0676,0.4186,0.4791,0.6404
10,1.9586,0.9826262593269348,0.5312284827232361,0.3939,0.3609,1.0511,0.39,0.4911,0.6677
11,1.9588,0.970792293548584,0.5349215269088745,0.4266,0.3749,0.8742,0.3972,0.5067,0.6882
12,1.9529,0.9358591437339783,0.5506827235221863,0.4592,0.3768,1.0095,0.3972,0.5046,0.679
13,1.9451,0.933570146560669,0.5444408059120178,0.4917,0.3758,0.9943,0.3967,0.5125,0.6555
14,1.9677,0.9270370006561279,0.5474411249160767,0.5246,0.39,1.0226,0.4364,0.4915,0.6927
15,1.9575,0.9117527008056641,0.5514160394668579,0.5573,0.4012,0.9749,0.4485,0.5006,0.7129
16,1.9575,0.8877350091934204,0.56124347448349,0.59,0.3904,1.1038,0.4311,0.4855,0.6659
17,1.9467,0.8722277283668518,0.5689831376075745,0.6225,0.3961,1.0107,0.4568,0.5013,0.6759
18,1.9519,0.8692291975021362,0.5683764219284058,0.6551,0.3561,0.9518,0.4053,0.4833,0.6564
19,1.9598,0.8605278730392456,0.5730918645858765,0.6879,0.4064,1.1377,0.4425,0.5066,0.6982
20,1.9418,0.8376955389976501,0.5820187330245972,0.7203,0.3962,0.9612,0.4339,0.4959,0.7038
21,1.9533,0.8279452323913574,0.5840539336204529,0.7529,0.4162,1.0593,0.4556,0.5167,0.6908
22,1.9484,0.8270708322525024,0.5899518132209778,0.7855,0.4043,1.0641,0.4415,0.4942,0.6853
23,1.9642,0.8190416693687439,0.5949945449829102,0.8183,0.4479,1.0174,0.4612,0.5179,0.7326
24,1.9601,0.8019608855247498,0.6033170819282532,0.851,0.4432,0.9725,0.4745,0.5322,0.7253
25,1.9572,0.7924467921257019,0.6074926257133484,0.8837,0.4245,0.9586,0.4434,0.502,0.7033
26,1.9508,0.7902452349662781,0.6086679100990295,0.9163,0.4422,0.9579,0.4715,0.5236,0.7145
27,1.9473,0.781490683555603,0.6112501621246338,0.9489,0.4518,1.0114,0.4688,0.5299,0.7029
28,1.9461,0.7813730239868164,0.6151295900344849,0.9814,0.4617,1.0667,0.4738,0.552,0.6544
29,1.9493,0.7656311988830566,0.6218277215957642,1.0139,0.4433,1.0712,0.4538,0.5049,0.6988
30,1.949,0.7513659596443176,0.6266387104988098,1.0465,0.4594,1.0423,0.4802,0.5227,0.7394
31,1.9558,0.7544980049133301,0.6301501989364624,1.0792,0.4798,1.0624,0.5048,0.5443,0.7159
32,1.9534,0.7471789121627808,0.6315428614616394,1.1118,0.5074,1.1403,0.5368,0.5423,0.749
33,1.9508,0.7426029443740845,0.6375004649162292,1.1444,0.4663,1.0453,0.4811,0.5011,0.7125
34,1.9525,0.7333458065986633,0.6391487121582031,1.177,0.5055,1.0058,0.5336,0.556,0.7309
35,1.9398,0.7286957502365112,0.6437829732894897,1.2094,0.471,1.0306,0.4944,0.5225,0.7403
36,1.9555,0.718924343585968,0.6460857391357422,1.242,0.4815,0.976,0.4886,0.528,0.6961
37,1.9546,0.7103379368782043,0.6536749005317688,1.2747,0.4835,1.0709,0.4763,0.5385,0.7431
38,1.9559,0.7041206359863281,0.656254768371582,1.3074,0.4923,0.9276,0.5054,0.5522,0.7381
39,1.9616,0.7161183953285217,0.6517853736877441,1.3401,0.4688,1.0504,0.4933,0.5185,0.7366
40,1.9606,0.7005202174186707,0.657683253288269,1.3729,0.5095,1.057,0.5225,0.5747,0.7705
41,1.9529,0.6932058334350586,0.659063994884491,1.4055,0.4864,1.0341,0.5018,0.5289,0.7669
42,1.9469,0.6934846043586731,0.6609559059143066,1.4381,0.5053,1.0636,0.5156,0.5401,0.7195
43,1.9656,0.6997839212417603,0.6592288017272949,1.4709,0.4999,0.9481,0.5031,0.536,0.7416
44,2.8451,0.7094309329986572,0.6530562043190002,1.5184,0.5281,0.9917,0.543,0.5765,0.7556
45,4.8533,0.7080594301223755,0.6566465497016907,1.5996,0.4815,0.9234,0.4841,0.5356,0.7359
46,5.0851,0.6959497332572937,0.6615101099014282,1.6846,0.4475,0.9128,0.4624,0.4874,0.6907
47,5.057,0.7035859227180481,0.6529104709625244,1.7691,0.5141,1.1841,0.539,0.5573,0.7307
48,5.3401,0.6990871429443359,0.6538086533546448,1.8583,0.5005,1.1073,0.527,0.5456,0.7448
49,5.2687,0.6958069205284119,0.660599946975708,1.9462,0.4504,0.8517,0.4641,0.4961,0.7525
50,5.0442,0.6890049576759338,0.6646131277084351,2.0308,0.465,0.9231,0.4678,0.5134,0.7424
51,5.1634,0.6924659013748169,0.6611469984054565,2.1172,0.5023,1.0224,0.5013,0.5673,0.7582
52,5.1548,0.6841368675231934,0.6666101217269897,2.2038,0.5043,0.9865,0.5245,0.5535,0.7581
53,5.0893,0.6963614225387573,0.6599932312965393,2.2888,0.5026,1.0406,0.5081,0.5669,0.7086
54,5.0644,0.701146125793457,0.656276285648346,2.374,0.5015,0.9954,0.4986,0.5536,0.7528
55,4.92,0.6890617609024048,0.6630580425262451,2.4561,0.5257,1.1332,0.5507,0.5436,0.7458
56,4.9193,0.6826847195625305,0.6626519560813904,2.5383,0.5024,1.078,0.5026,0.5416,0.7326
57,5.2237,0.6957088708877563,0.6622888445854187,2.6257,0.4968,0.9897,0.4923,0.5557,0.7481
58,5.1041,0.6965648531913757,0.6578552722930908,2.7112,0.493,0.9815,0.4913,0.5424,0.7249
59,5.3126,0.6837749481201172,0.6670472621917725,2.8002,0.4891,1.0442,0.5009,0.5366,0.7206
60,5.3049,0.6850559711456299,0.6686047911643982,2.8888,0.4756,1.1362,0.4829,0.5108,0.7333
61,5.1335,0.6830149292945862,0.6677877902984619,2.9746,0.4829,1.0442,0.4983,0.5279,0.7193
62,5.3184,0.6839742660522461,0.6650144457817078,3.0638,0.4803,1.0163,0.4947,0.5276,0.7754
63,5.3023,0.6813225746154785,0.667601466178894,3.1525,0.5075,0.9124,0.5043,0.558,0.7459
64,5.3598,0.6853016018867493,0.667458176612854,3.2421,0.485,0.9626,0.4972,0.5437,0.7658
65,5.267,0.6785552501678467,0.6686406135559082,3.3303,0.4858,1.0099,0.4975,0.5215,0.7137
66,5.2748,0.6706128716468811,0.6714545488357544,3.4185,0.4964,1.084,0.526,0.5391,0.7369
67,5.1108,0.666283130645752,0.6757209300994873,3.504,0.5104,1.1326,0.5248,0.5598,0.7474
68,5.278,0.6817136406898499,0.6686812043190002,3.5922,0.4897,1.0281,0.4958,0.5236,0.7132
69,4.9871,0.6803349256515503,0.6652389764785767,3.6759,0.5221,1.0288,0.5445,0.5751,0.7401
70,5.2575,0.670218825340271,0.6725749373435974,3.7638,0.4735,1.033,0.4804,0.5103,0.7389
71,5.2975,0.6758725643157959,0.6709720492362976,3.8524,0.4906,0.9439,0.5001,0.5431,0.7091
72,4.6428,0.6693689227104187,0.674667477607727,3.9302,0.507,1.0562,0.5297,0.5382,0.7662
73,5.1096,0.6765437722206116,0.6706041693687439,4.0156,0.4902,0.9289,0.5134,0.5296,0.7685
74,5.2027,0.6691887378692627,0.6722763180732727,4.1027,0.4983,1.0444,0.5081,0.5247,0.7503
75,4.9808,0.6692561507225037,0.6694909930229187,4.1861,0.4453,1.0197,0.4608,0.51,0.6898
76,5.1015,0.6741541028022766,0.6706686615943909,4.2714,0.5071,0.9646,0.5193,0.5606,0.7816
77,4.911,0.6663817763328552,0.6725963950157166,4.3534,0.4959,1.0306,0.5169,0.5333,0.76
78,5.0544,0.6623855233192444,0.677780032157898,4.4382,0.4782,1.0875,0.4968,0.5079,0.7203
79,5.182,0.6671976447105408,0.6730645895004272,4.5249,0.5052,1.0528,0.5137,0.5392,0.7597
80,5.2631,0.6726449728012085,0.6717913746833801,4.6128,0.5041,1.0756,0.4975,0.5654,0.7454
81,5.3596,0.6646137237548828,0.674591064453125,4.7027,0.51,1.0293,0.5209,0.5448,0.7526
82,5.4769,0.6643935441970825,0.6740869879722595,4.7945,0.4969,1.0962,0.4877,0.5427,0.7534
83,5.2879,0.6577507853507996,0.6773954629898071,4.8829,0.5011,1.1132,0.5055,0.5704,0.7393
84,5.242,0.6623843312263489,0.6758212447166443,4.9708,0.5106,0.9667,0.522,0.5361,0.7699
85,5.3692,0.6604366898536682,0.6785038709640503,5.0607,0.503,1.0684,0.5018,0.5354,0.7308
86,5.3407,0.6594485640525818,0.6783175468444824,5.1503,0.502,1.046,0.4939,0.5508,0.7324
87,5.0897,0.6586195826530457,0.6751141548156738,5.2356,0.5198,1.0907,0.534,0.5655,0.7731
88,5.0155,0.6698344945907593,0.6752336025238037,5.3194,0.4897,0.9969,0.501,0.523,0.7721
89,5.2264,0.6575978994369507,0.6767982840538025,5.407,0.4921,0.9798,0.5058,0.5436,0.7386
90,5.547,0.6655813455581665,0.6757878065109253,5.4998,0.5069,0.9822,0.5097,0.5446,0.7243
91,5.0256,0.6655336618423462,0.6730718016624451,5.5838,0.4812,1.0712,0.4911,0.5212,0.7406
92,5.2091,0.6727220416069031,0.6714402437210083,5.6708,0.4946,1.0903,0.5066,0.5239,0.7435
93,5.0062,0.6634665131568909,0.6730144619941711,5.7546,0.5335,1.0957,0.5417,0.5759,0.7746
94,5.14,0.6592185497283936,0.6766931414604187,5.8406,0.4986,0.8841,0.5099,0.5439,0.7142
95,5.1521,0.6708154082298279,0.6713638305664062,5.9268,0.4683,1.0031,0.4768,0.5197,0.7129
96,5.108,0.6628794074058533,0.6787068843841553,6.0122,0.4858,1.1097,0.5079,0.5082,0.7677
97,5.0633,0.6665914058685303,0.6735184788703918,6.0967,0.4768,0.9419,0.4878,0.5124,0.7126
98,5.1658,0.6610158681869507,0.6736021041870117,6.1834,0.5006,1.0479,0.5103,0.5184,0.761
99,5.1153,0.6565172672271729,0.6764566898345947,6.2693,0.4793,0.7897,0.4726,0.5218,0.7688
100,4.7664,0.6581265926361084,0.6789194941520691,6.349,0.4964,1.0071,0.4896,0.5485,0.7451
101,5.1596,0.6521015763282776,0.6796361207962036,6.4352,0.5235,1.031,0.5375,0.565,0.7761
102,5.0908,0.6538960337638855,0.6801282167434692,6.5203,0.5196,1.1311,0.5338,0.5608,0.7255
103,5.0752,0.6588015556335449,0.6783031821250916,6.6052,0.516,0.9849,0.5236,0.555,0.7844
104,5.0457,0.6551355123519897,0.6781120896339417,6.6894,0.4887,0.9792,0.4813,0.5397,0.7411
105,5.1744,0.6612040400505066,0.6785922646522522,6.776,0.5032,0.8678,0.4901,0.5542,0.783
106,5.0506,0.6614428162574768,0.6781765818595886,6.8612,0.4814,1.0802,0.4848,0.5284,0.7292
107,4.9566,0.6557644009590149,0.6777943968772888,6.944,0.4665,1.0184,0.4629,0.5167,0.7078
108,5.055,0.6700082421302795,0.6744979023933411,7.0286,0.5024,1.0451,0.506,0.5404,0.7456
109,5.4648,0.6611756086349487,0.6749206781387329,7.1202,0.4956,0.9446,0.5002,0.5374,0.771
110,4.8963,0.6610077619552612,0.6767194271087646,7.2024,0.4705,1.0412,0.4817,0.5137,0.6774
111,5.3858,0.6629148125648499,0.6771996021270752,7.2927,0.5003,1.0129,0.5191,0.5334,0.7488
112,5.4367,0.656897783279419,0.6752598881721497,7.3836,0.5002,1.1119,0.4898,0.5318,0.7163
113,5.2048,0.6560580730438232,0.6768197417259216,7.4708,0.4998,1.0971,0.5028,0.5574,0.7457
114,5.2996,0.6597891449928284,0.6777299046516418,7.5594,0.5038,1.0679,0.5156,0.5333,0.7304
115,5.1915,0.6600246429443359,0.6785612106323242,7.6463,0.5315,1.0878,0.5402,0.5846,0.736
116,4.6773,0.6561805605888367,0.6795859932899475,7.725,0.4959,0.9644,0.4868,0.5361,0.7381
117,5.0745,0.6682888269424438,0.6732557415962219,7.8098,0.4789,1.0013,0.4879,0.5356,0.72
118,4.907,0.6534587144851685,0.6803145408630371,7.8919,0.5026,1.0764,0.4932,0.5534,0.7445
119,5.2631,0.6518512964248657,0.6797388792037964,7.9804,0.4912,1.0198,0.5094,0.5333,0.698
120,5.398,0.6580345630645752,0.6754629611968994,8.0711,0.481,1.033,0.4825,0.5341,0.6905
121,4.7959,0.6624612212181091,0.6787689924240112,8.1513,0.4844,0.9646,0.4824,0.5445,0.7464
122,5.0063,0.6595577001571655,0.6754701137542725,8.2352,0.4733,1.0043,0.4764,0.5238,0.7339
123,4.6648,0.6606404781341553,0.6791154146194458,8.3132,0.4797,0.9135,0.4822,0.5047,0.7445
124,5.3029,0.6590721011161804,0.6794450283050537,8.4021,0.4969,1.0432,0.5259,0.5232,0.7399
125,4.8472,0.6622001528739929,0.6738385558128357,8.4833,0.4955,0.9979,0.4901,0.5462,0.7584
126,5.2567,0.6489586234092712,0.6823999285697937,8.5711,0.5292,0.9747,0.5346,0.5735,0.7416
127,5.0421,0.6579800844192505,0.67896968126297,8.6553,0.4862,1.1287,0.4977,0.5174,0.7082
128,4.5318,0.6565995216369629,0.6830640435218811,8.731,0.5014,0.9771,0.5131,0.5291,0.7507
129,4.3572,0.6556039452552795,0.6792945265769958,8.804,0.5222,1.0436,0.5188,0.5647,0.7952
130,4.4915,0.6647529602050781,0.6757782697677612,8.8794,0.5084,0.9941,0.5129,0.5543,0.7471
131,4.3344,0.6532940864562988,0.6835370063781738,8.9519,0.4975,1.0663,0.4949,0.5376,0.7282
132,3.5565,0.6571019887924194,0.6818051338195801,9.0117,0.5337,0.9956,0.5422,0.5494,0.7533
133,3.2443,0.6559621691703796,0.6823832392692566,9.066,0.497,1.0203,0.5117,0.5373,0.7676
134,3.5025,0.657394289970398,0.6808472275733948,9.1245,0.5226,1.1572,0.5371,0.5512,0.7253
135,3.736,0.6647257208824158,0.6770586371421814,9.1871,0.4982,0.9936,0.4886,0.5259,0.7689
136,3.5598,0.656700611114502,0.6808758974075317,9.2466,0.4697,0.9831,0.4574,0.518,0.6932
137,3.694,0.6622117161750793,0.6799800992012024,9.3085,0.5045,1.0148,0.5125,0.5502,0.7326
138,3.9269,0.6533044576644897,0.6798845529556274,9.3743,0.4989,0.9757,0.5107,0.549,0.7645
139,3.5036,0.6557812690734863,0.6787379384040833,9.4329,0.5123,1.0341,0.5146,0.5374,0.7355
140,3.3498,0.6488579511642456,0.6823450326919556,9.489,0.4805,0.9854,0.472,0.53,0.7394
141,3.1229,0.6554211974143982,0.680426836013794,9.5414,0.493,0.9687,0.4821,0.5392,0.7596
142,3.0076,0.6579312086105347,0.6776415109634399,9.5916,0.5148,1.1354,0.5425,0.5371,0.6912
143,3.2614,0.6508089303970337,0.6774957776069641,9.6462,0.4985,1.1675,0.5221,0.535,0.7291
144,3.3983,0.6700273156166077,0.6749135255813599,9.7029,0.4919,1.0486,0.4821,0.5578,0.7667
145,3.3882,0.66179358959198,0.6749875545501709,9.7599,0.4746,0.9494,0.4798,0.5177,0.7093
146,2.9817,0.6574152112007141,0.6792324185371399,9.8099,0.4728,0.9476,0.4698,0.5282,0.7442
147,3.0484,0.6595525741577148,0.676196277141571,9.8608,0.4849,1.0109,0.4986,0.5093,0.728
148,2.9226,0.658280074596405,0.679015040397644,9.9097,0.5116,1.0527,0.5051,0.5618,0.7616
149,2.9574,0.6545239686965942,0.6822422742843628,9.9593,0.5071,0.9691,0.5183,0.5459,0.6948
150,3.0554,0.6555259227752686,0.6799252033233643,10.0105,0.4943,0.9394,0.4908,0.5382,0.747
151,3.0443,0.6542142033576965,0.679172694683075,10.0615,0.4917,1.0008,0.4917,0.5422,0.771
152,2.8929,0.6542522311210632,0.6805629730224609,10.1099,0.5194,1.1548,0.5313,0.5513,0.7489
153,3.0118,0.6598506569862366,0.67900550365448,10.1603,0.4625,1.0189,0.4742,0.5184,0.7214
154,2.4959,0.6563258767127991,0.6807731986045837,10.202,0.495,1.0004,0.4979,0.5396,0.7713
155,2.0008,0.6519404649734497,0.6811052560806274,10.2355,0.5042,0.9736,0.5067,0.5252,0.7561
156,1.9583,0.6536220908164978,0.6776964664459229,10.2682,0.4675,1.0711,0.4592,0.5046,0.7241
157,1.9607,0.6493415832519531,0.681824266910553,10.3009,0.4661,0.9115,0.4603,0.4991,0.7155
158,1.9626,0.6557028293609619,0.6806513667106628,10.3338,0.4844,0.9787,0.4789,0.5262,0.7569
