epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,5.082,1.282812476158142,0.404553085565567,0.0847,0.3086,0.8625,0.3214,0.3341,0.6076
1,3.3068,1.1772640943527222,0.4651881754398346,0.1402,0.3174,1.0629,0.3197,0.3366,0.6228
2,3.1919,1.1262283325195312,0.4901425838470459,0.1936,0.3101,1.0311,0.3084,0.3346,0.6565
3,3.2202,1.0932629108428955,0.5058012008666992,0.2474,0.3041,1.1675,0.311,0.3233,0.5602
4,3.1004,1.0632025003433228,0.518430769443512,0.2993,0.3275,1.1081,0.3384,0.3568,0.6151
5,3.2899,1.03241765499115,0.5287274122238159,0.3544,0.3266,1.0097,0.3376,0.3401,0.6476
6,3.1417,1.0205130577087402,0.5342093706130981,0.4069,0.349,1.0549,0.3487,0.3595,0.6956
7,3.1698,0.9931547045707703,0.5410234332084656,0.4599,0.349,0.99,0.353,0.3616,0.6538
8,3.2257,0.969513475894928,0.5524049401283264,0.514,0.3577,1.0341,0.3585,0.3659,0.6649
9,3.1444,0.9532632827758789,0.5599918365478516,0.5667,0.3765,1.1676,0.3948,0.3906,0.6477
10,3.129,0.9426336884498596,0.5589765906333923,0.6192,0.3255,0.9784,0.3326,0.3471,0.6092
11,3.2275,0.9329665303230286,0.5600302219390869,0.6731,0.347,1.1651,0.346,0.357,0.5834
12,3.1652,0.9111806750297546,0.5702140927314758,0.7262,0.3508,1.0704,0.3487,0.3658,0.598
13,3.1735,0.9009478092193604,0.5740519165992737,0.7794,0.3671,1.1005,0.3852,0.3806,0.6566
14,3.1293,0.8848096132278442,0.5777049660682678,0.8318,0.3795,1.0773,0.3984,0.4036,0.6227
15,3.1944,0.878948450088501,0.5789458751678467,0.8853,0.3912,0.9412,0.3895,0.4079,0.6965
16,3.1998,0.8550309538841248,0.5873799920082092,0.9389,0.3898,0.9856,0.3842,0.4046,0.6784
17,3.066,0.8449743390083313,0.5905961990356445,0.9903,0.3646,1.0632,0.3694,0.3845,0.5938
18,3.1622,0.8494160175323486,0.589388906955719,1.0433,0.3908,1.0619,0.3898,0.3974,0.6008
19,3.1498,0.8381219506263733,0.5922666788101196,1.096,0.4086,1.0824,0.4083,0.4185,0.6433
20,3.0814,0.8228252530097961,0.5998151898384094,1.1476,0.3708,0.9688,0.3649,0.3854,0.6052
21,3.1791,0.8166383504867554,0.6037706136703491,1.2007,0.3822,0.9601,0.39,0.3976,0.6152
22,3.1244,0.7972375750541687,0.6075388789176941,1.2531,0.4147,1.0887,0.4163,0.4419,0.6358
23,3.1331,0.8048868179321289,0.6075052618980408,1.3055,0.3958,1.028,0.4094,0.3987,0.6992
24,3.1775,0.7918558716773987,0.609000563621521,1.3587,0.3854,1.0234,0.38,0.4111,0.64
25,3.1464,0.785057783126831,0.6140192747116089,1.4114,0.398,1.1008,0.3955,0.4311,0.586
26,3.1733,0.7832103371620178,0.6147489547729492,1.4646,0.4106,1.0305,0.4071,0.4358,0.6615
27,3.1662,0.75575190782547,0.6256240606307983,1.5177,0.4242,1.0469,0.422,0.4319,0.6821
