epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,6.0812,1.2565703392028809,0.41978925466537476,0.1014,0.3114,1.1093,0.3636,0.3631,0.5113
1,3.0488,1.1147916316986084,0.5043298602104187,0.1525,0.4015,1.0258,0.4137,0.425,0.6952
2,2.6784,1.0467056035995483,0.5265936851501465,0.1973,0.4538,1.0475,0.4494,0.4797,0.7107
3,2.5919,1.0065308809280396,0.5406057834625244,0.2406,0.4354,1.0819,0.4416,0.4594,0.7009
4,2.5556,0.9680198431015015,0.5527409911155701,0.2833,0.4242,1.0717,0.4364,0.4495,0.6783
5,2.6039,0.9451863765716553,0.5603686571121216,0.3269,0.471,0.9332,0.4847,0.4858,0.7277
6,2.4682,0.9255371689796448,0.5683539509773254,0.3682,0.4686,0.9903,0.4725,0.4797,0.7585
7,2.4311,0.8991852402687073,0.5806355476379395,0.4088,0.4901,1.037,0.4918,0.5253,0.7652
8,2.1979,0.88758385181427,0.5839117765426636,0.4456,0.4658,1.1026,0.474,0.5025,0.7217
9,2.0538,0.8744955062866211,0.5887600779533386,0.4799,0.478,1.115,0.4775,0.5181,0.7142
10,2.0636,0.86271071434021,0.5956389307975769,0.5144,0.4772,1.0326,0.4881,0.5294,0.7342
11,1.9763,0.8533851504325867,0.5969061851501465,0.5474,0.5342,1.0791,0.5384,0.567,0.7795
12,1.967,0.835326075553894,0.6043850779533386,0.5803,0.5233,1.0711,0.5282,0.5661,0.7693
13,1.9631,0.820904552936554,0.6076517105102539,0.6131,0.5061,0.9774,0.5022,0.5537,0.7422
14,1.9613,0.8215184807777405,0.6078053116798401,0.6459,0.497,1.0137,0.4991,0.5345,0.768
15,1.9604,0.8039252758026123,0.6169546842575073,0.6786,0.524,1.1238,0.5429,0.5529,0.7567
16,1.9554,0.8035821318626404,0.6155890226364136,0.7113,0.5358,1.0626,0.5386,0.5744,0.7875
17,1.9634,0.7864322662353516,0.6257608532905579,0.7441,0.5274,1.0945,0.5339,0.5593,0.7585
18,1.9599,0.7768511176109314,0.6278249621391296,0.7768,0.5332,0.9888,0.5357,0.5629,0.7791
19,2.2197,0.7768179178237915,0.6268576979637146,0.8139,0.5469,1.0569,0.5652,0.572,0.7807
20,2.845,0.7713444232940674,0.6304315328598022,0.8614,0.5237,1.037,0.5295,0.5569,0.7581
21,3.1957,0.767620325088501,0.6303643584251404,0.9148,0.5393,1.0607,0.5382,0.5672,0.7904
22,3.3053,0.7516891360282898,0.6348958611488342,0.9701,0.5217,1.0498,0.5249,0.5511,0.7763
23,3.2905,0.7542297840118408,0.6349870562553406,1.0251,0.5349,1.0763,0.5331,0.5696,0.7716
24,3.2458,0.7382699847221375,0.6411746144294739,1.0794,0.5404,0.9711,0.536,0.5893,0.7701
25,3.2607,0.7286522388458252,0.6422594785690308,1.1344,0.5558,1.0127,0.5552,0.5933,0.7769
26,3.2174,0.7288880944252014,0.6481254696846008,1.1882,0.5237,0.9398,0.519,0.5709,0.7836
27,3.2286,0.7213433384895325,0.6476646661758423,1.2422,0.5627,0.966,0.5603,0.602,0.7921
28,3.2053,0.7131725549697876,0.6519129276275635,1.2958,0.5706,1.103,0.5678,0.5938,0.7966
29,3.2255,0.7115306854248047,0.6526017785072327,1.3498,0.5444,1.1734,0.5394,0.5864,0.7662
30,3.2423,0.7103420495986938,0.6505400538444519,1.4041,0.5371,0.9696,0.5322,0.5812,0.7848
31,3.3432,0.7031209468841553,0.6558131575584412,1.4601,0.5654,1.016,0.5658,0.5815,0.795
32,3.1813,0.6904208064079285,0.660932719707489,1.5133,0.5421,0.9854,0.5301,0.5915,0.776
33,3.2245,0.6836504340171814,0.6615207195281982,1.5672,0.5829,1.0522,0.5769,0.6009,0.7721
34,3.2122,0.6823394894599915,0.6621639728546143,1.6209,0.5696,1.0095,0.5813,0.5991,0.802
35,3.1954,0.6889678239822388,0.6589141488075256,1.6743,0.5439,0.9895,0.5292,0.5984,0.7924
36,3.3044,0.6706610321998596,0.6681955456733704,1.7296,0.5588,1.0491,0.5442,0.5926,0.7803
37,3.2527,0.6708171367645264,0.6659778356552124,1.784,0.565,1.0185,0.5566,0.6002,0.7908
38,3.3115,0.6700782179832458,0.6683419942855835,1.8393,0.5524,1.1344,0.5395,0.5911,0.7354
39,3.2141,0.6550246477127075,0.6701828837394714,1.8933,0.5577,1.0843,0.5507,0.5866,0.772
40,3.1262,0.6643527150154114,0.6744215488433838,1.9456,0.5492,1.0622,0.5456,0.5822,0.775
41,3.1926,0.6510744094848633,0.6758016347885132,1.9991,0.5541,1.0436,0.5393,0.5888,0.7423
42,3.191,0.6644973754882812,0.6689876317977905,2.0524,0.5591,0.9873,0.5453,0.5956,0.7769
43,3.2795,0.6611987352371216,0.668961226940155,2.1074,0.565,0.9989,0.5577,0.5929,0.804
44,3.2623,0.665309727191925,0.6687260270118713,2.1619,0.5658,1.0606,0.5651,0.5935,0.7858
