epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,6.4989,2.0055854320526123,0.37867462635040283,0.1083,0.2592,0.9585,0.3116,0.3337,0.513
1,3.7985,1.86018967628479,0.42818981409072876,0.1718,0.3273,1.0661,0.3585,0.3944,0.5474
2,3.5256,1.8043053150177002,0.43494144082069397,0.2308,0.3142,1.047,0.3659,0.4029,0.5256
3,3.4101,1.746948480606079,0.4446980655193329,0.2877,0.2839,1.0672,0.3458,0.3879,0.5025
4,3.5023,1.6977722644805908,0.4519777297973633,0.3462,0.3086,0.9986,0.3791,0.4003,0.5247
5,3.4942,1.6809719800949097,0.4585229456424713,0.4045,0.3148,1.0906,0.3607,0.3968,0.5077
6,3.3139,1.6227139234542847,0.4712773561477661,0.4599,0.3581,1.004,0.3975,0.4468,0.6271
7,3.4275,1.6088601350784302,0.4761928617954254,0.5172,0.3434,1.0747,0.3899,0.4412,0.5604
8,3.4404,1.5831736326217651,0.4827860891819,0.5746,0.351,1.0321,0.3886,0.4321,0.586
9,3.4297,1.57882559299469,0.48337894678115845,0.6319,0.3451,1.0342,0.3937,0.436,0.5323
10,3.3188,1.558469533920288,0.4913858473300934,0.6874,0.3836,0.9262,0.4133,0.4674,0.6318
11,3.3916,1.5286195278167725,0.4990999400615692,0.744,0.3693,1.0563,0.399,0.442,0.626
12,3.3164,1.515937328338623,0.49679580330848694,0.7994,0.3649,1.136,0.408,0.4521,0.5701
13,3.3482,1.504928469657898,0.5028705596923828,0.8553,0.3942,1.0058,0.4147,0.4687,0.6497
14,3.3561,1.4786988496780396,0.5143457055091858,0.9114,0.4067,1.0048,0.4399,0.4948,0.5778
15,3.3515,1.4661637544631958,0.5191916227340698,0.9674,0.4089,1.0083,0.4333,0.4742,0.6497
16,3.2817,1.4547711610794067,0.5227630734443665,1.0222,0.3844,0.8831,0.408,0.453,0.6353
17,3.3698,1.4459854364395142,0.5249879956245422,1.0786,0.3906,1.1467,0.4205,0.4757,0.583
18,3.1888,1.4295308589935303,0.5301074981689453,1.1318,0.4185,1.0016,0.4483,0.4929,0.652
19,3.2712,1.4305249452590942,0.5283170342445374,1.1865,0.3997,0.9616,0.4211,0.4712,0.6353
20,2.7353,1.417160153388977,0.5358846783638,1.2321,0.4033,1.0548,0.4361,0.4866,0.6363
21,2.728,1.401364803314209,0.5386928915977478,1.2777,0.3877,0.9047,0.4124,0.4685,0.6041
22,2.7536,1.3794231414794922,0.5454084873199463,1.3237,0.4268,0.8971,0.4401,0.4943,0.6713
